"ID","Type","Name","Documentation","Specialization"
"id-aaa425ac23f64918b35f976e6bb0dff8","ArchimateModel","Full Bank Account","",""
"id-72dc292e4f904196a77ee5ef5a9da389","BusinessEvent","Find money on the street","",""
"id-15fa85f3bd3a4a92938000fdb7ccde44","BusinessEvent","Go To The Pub","",""
"id-25c45a03d1f0418e86ec87d538956305","BusinessEvent","Rent","",""
"id-c0745dc9412145a4920db1865e7e3af2","BusinessEvent","Salary","",""
"id-369163e55b7a4bc2b87629ba91edb51c","BusinessObject","Bank Account","",""
"id-f0b6fe62c01845a19f5bf0dc55f8a742","Assessment","<<Likelihood>> ","",""
"id-677cb43207a1494eba82e003189a083a","Assessment","<<Likelihood>> 20%","",""
"id-eca30480c97f4290b9bc303dc8e3d54f","Assessment","<<Likelihood>> 50%","",""
"id-2aae8255682d4bc9ade2eea51117c720","Assessment","<<Recurrence>> 5","",""
"id-557099b6d7724869895b2e3b7047535d","Assessment","<<Start Event>>","",""
"id-bc581a5d50d14e718112b0685a8cb38c","Constraint","<<Initial>>","",""
"id-67228726ad114cf292e5b430d17b9668","Constraint","<<Limit>> 100","",""
"id-748cb95d20ad496e8e65566fdc7d4aa4","Constraint","<<Type>>","",""
"id-c8273284c7ee45df9ce4d9f30353e77e","Value","Balance","",""
