"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-9c65bb521aa041699debeaa802dfc8b7","AssociationRelationship","","","id-c8273284c7ee45df9ce4d9f30353e77e","id-748cb95d20ad496e8e65566fdc7d4aa4",""
"id-70df43658f274694bd65a4bd4301046f","AssociationRelationship","","","id-369163e55b7a4bc2b87629ba91edb51c","id-c8273284c7ee45df9ce4d9f30353e77e",""
"id-fa9cbecc3c9d43a5a46b7c71ecb8408c","AssociationRelationship","","","id-bc581a5d50d14e718112b0685a8cb38c","id-c8273284c7ee45df9ce4d9f30353e77e",""
"id-976037055cdd4559b2ab3be7b83b2968","AssociationRelationship","","","id-c0745dc9412145a4920db1865e7e3af2","id-369163e55b7a4bc2b87629ba91edb51c",""
"id-0a17896f5e74425092f472d7cb18b22b","AssociationRelationship","","","id-25c45a03d1f0418e86ec87d538956305","id-369163e55b7a4bc2b87629ba91edb51c",""
"id-c8bfe17a6b834d18a8ce83a2d5595c84","AssociationRelationship","","","id-72dc292e4f904196a77ee5ef5a9da389","id-369163e55b7a4bc2b87629ba91edb51c",""
"id-a5ce57186ae24c778f99523c64fa050d","AssociationRelationship","","","id-2aae8255682d4bc9ade2eea51117c720","id-72dc292e4f904196a77ee5ef5a9da389",""
"id-a4f421224fd548d8a007ed3147ac830f","AssociationRelationship","","","id-2aae8255682d4bc9ade2eea51117c720","id-c0745dc9412145a4920db1865e7e3af2",""
"id-8da933862a964f4c9886120881206dcf","AssociationRelationship","","","id-677cb43207a1494eba82e003189a083a","id-7f7381386b334166be3c9a8f2fec18ce",""
"id-a73da68c81074e5d857f8d9618db35d1","AssociationRelationship","","","id-557099b6d7724869895b2e3b7047535d","id-c0745dc9412145a4920db1865e7e3af2",""
"id-704b5db94a384032b37a959e4a86f463","AssociationRelationship","","","id-15fa85f3bd3a4a92938000fdb7ccde44","id-369163e55b7a4bc2b87629ba91edb51c",""
"id-ee3ffc7d079f4c86b7970fd2b4875233","InfluenceRelationship","+ 100","","id-c0745dc9412145a4920db1865e7e3af2","id-c8273284c7ee45df9ce4d9f30353e77e",""
"id-dcd5c30e3c904efb9c55f3e3e8d68e85","InfluenceRelationship","+10","","id-72dc292e4f904196a77ee5ef5a9da389","id-c8273284c7ee45df9ce4d9f30353e77e",""
"id-c249d17b3f0e409daf848ecaf3044e32","InfluenceRelationship","-30","","id-15fa85f3bd3a4a92938000fdb7ccde44","id-c8273284c7ee45df9ce4d9f30353e77e",""
"id-cbf0c781c079423492d0f92f085a6231","InfluenceRelationship","-80","","id-25c45a03d1f0418e86ec87d538956305","id-c8273284c7ee45df9ce4d9f30353e77e",""
"id-e2d24d364ee442ba808d1b2e02cafb46","TriggeringRelationship","","","id-c0745dc9412145a4920db1865e7e3af2","id-25c45a03d1f0418e86ec87d538956305",""
"id-7f7381386b334166be3c9a8f2fec18ce","TriggeringRelationship","","","id-25c45a03d1f0418e86ec87d538956305","id-15fa85f3bd3a4a92938000fdb7ccde44",""
